filename,style,shape,color,texture,decorations,theme
photo_placeid-ChIJ02KxL7Y9aTQRFO5O5YYz2Ac_idx-2.jpg,法式,橢圓形（Oval）,"裸粉色, 白色",光澤（Glossy）,水鑽（Rhinestone）,優雅
photo_placeid-ChIJ02KxL7Y9aTQRFO5O5YYz2Ac_idx-10.jpg,法式,橢圓形（Oval）,"裸粉色, 白色, 銀色",光澤（Glossy）,,優雅
photo_placeid-ChIJ02KxL7Y9aTQRFO5O5YYz2Ac_idx-3.jpg,手繪,尖形（Stiletto）,金屬銀,"亮片（Glitter）, 金屬箔（Foil）","雕花（3D art）, 金屬飾片（Metal pieces）",優雅
photo_placeid-ChIJ02Do1xA9aTQRCET08--fcCc_idx-9.jpg,漸層,橢圓形（Oval）,"紅色, 金屬銀","光澤（Glossy）, 亮片（Glitter）",金屬飾片（Metal pieces）,優雅
photo_placeid-ChIJ02KxL7Y9aTQRFO5O5YYz2Ac_idx-4.jpg,"手繪, 跳色",,"白色, 藍色, 粉色, 黑色",光澤（Glossy）,,"日系, 簡約"
photo_placeid-ChIJ02KxL7Y9aTQRFO5O5YYz2Ac_idx-5.jpg,跳色,方形（Square）,"紅色, 白色","光澤（Glossy）, 亮片（Glitter）",,簡約
photo_placeid-ChIJ041PexqpQjQRNBrbh6HdMJs_idx-1.jpg,"跳色, 手繪",橢圓形（Oval）,"棕色, 裸粉色, 金屬銀",光澤（Glossy）,金屬箔（Foil）,優雅
photo_placeid-ChIJ02KxL7Y9aTQRFO5O5YYz2Ac_idx-7.jpg,"跳色, 手繪",橢圓形（Oval）,"藍色, 白色",光澤（Glossy）,"金屬飾片（Metal pieces）, 畫圖章（Stamp）",優雅
photo_placeid-ChIJ02KxL7Y9aTQRFO5O5YYz2Ac_idx-6.jpg,跳色,橢圓形（Oval）,"裸粉色, 金屬銀","光澤（Glossy）, 金屬箔（Foil）",,"春, 優雅"
photo_placeid-ChIJ041PexqpQjQRNBrbh6HdMJs_idx-10.jpg,單色,橢圓形（Oval）,藍色,光澤（Glossy）,,簡約
photo_placeid-ChIJ041PexqpQjQRNBrbh6HdMJs_idx-3.jpg,手繪,橢圓形（Oval）,"藍色, 裸粉色",光澤（Glossy）,,優雅
photo_placeid-ChIJ041PexqpQjQRNBrbh6HdMJs_idx-2.jpg,跳色,橢圓形（Oval）,"藍色, 橙色, 裸粉色",光澤（Glossy）,金屬飾片（Metal pieces）,簡約
photo_placeid-ChIJ041PexqpQjQRNBrbh6HdMJs_idx-4.jpg,單色,橢圓形（Oval）,紅色,光澤（Glossy）,,優雅
photo_placeid-ChIJ041PexqpQjQRNBrbh6HdMJs_idx-5.jpg,"手繪, 跳色",橢圓形（Oval）,"橙色, 白色, 黃色",光澤（Glossy）,貼紙（Sticker）,"春, 可愛"
photo_placeid-ChIJ041PexqpQjQRNBrbh6HdMJs_idx-7.jpg,跳色,橢圓形（Oval）,裸粉色,光澤（Glossy）,,
photo_placeid-ChIJ041PexqpQjQRNBrbh6HdMJs_idx-9.jpg,"跳色, 手繪",方圓形（Squoval）,"紅色, 白色, 裸粉色",光澤（Glossy）,畫圖章（Stamp）,可愛
photo_placeid-ChIJ05z3RlMfaDQRJR9tkt2udVM_idx-1.jpg,跳色,圓形（Round）,"綠色, 亮片","光澤（Glossy）, 亮片（Glitter）",,簡約
photo_placeid-ChIJ041PexqpQjQRNBrbh6HdMJs_idx-8.jpg,單色,橢圓形（Oval）,裸粉色,光澤（Glossy）,,"簡約, 優雅"
photo_placeid-ChIJ041PexqpQjQRNBrbh6HdMJs_idx-6.jpg,手繪,橢圓形（Oval）,"白色, 藍色",光澤（Glossy）,,簡約
photo_placeid-ChIJ05z3RlMfaDQRJR9tkt2udVM_idx-10.jpg,跳色,方圓形（Squoval）,"紅色, 裸粉色",光澤（Glossy）,"水鑽（Rhinestone）, 畫圖章（Stamp）",可愛
photo_placeid-ChIJ05z3RlMfaDQRJR9tkt2udVM_idx-2.jpg,跳色,方圓形（Squoval）,"裸粉色, 金屬銀","光澤（Glossy）, 亮片（Glitter）","水鑽（Rhinestone）, 金屬飾片（Metal pieces）",優雅
photo_placeid-ChIJ05z3RlMfaDQRJR9tkt2udVM_idx-3.jpg,"法式, 手繪",方圓形（Squoval）,"白色, 黃色, 裸粉色",光澤（Glossy）,畫圖章（Stamp）,"優雅, 簡約"
photo_placeid-ChIJ05z3RlMfaDQRJR9tkt2udVM_idx-4.jpg,法式,橢圓形（Oval）,"裸粉色, 紅色, 銀色","光澤（Glossy）, 亮片（Glitter）",金屬箔（Foil）,優雅
photo_placeid-ChIJ05z3RlMfaDQRJR9tkt2udVM_idx-5.jpg,"跳色, 手繪",橢圓形（Oval）,"白色, 橙色, 藍色","光澤（Glossy）, 亮片（Glitter）",貼紙（Sticker）,"秋, 可愛"
photo_placeid-ChIJ05z3RlMfaDQRJR9tkt2udVM_idx-7.jpg,跳色,方圓形（Squoval）,"黑色, 灰色",光澤（Glossy）,,優雅
photo_placeid-ChIJ05z3RlMfaDQRJR9tkt2udVM_idx-6.jpg,"跳色, 手繪",橢圓形（Oval）,"白色, 灰色, 裸粉色",光澤（Glossy）,"雕花（3D art）, 貼紙（Sticker）","優雅, 秋"
photo_placeid-ChIJ05z3RlMfaDQRJR9tkt2udVM_idx-8.jpg,手繪,方圓形（Squoval）,"紅色, 白色",光澤（Glossy）,,"可愛, 冬"
photo_placeid-ChIJ07jQUA01aDQRDOaiaNB255Y_idx-1.jpg,單色,橢圓形（Oval）,裸粉色,光澤（Glossy）,水鑽（Rhinestone）,優雅
photo_placeid-ChIJ07jQUA01aDQRDOaiaNB255Y_idx-10.jpg,跳色,圓形（Round）,"藍色, 白色","光澤（Glossy）, 亮片（Glitter）",,優雅
photo_placeid-ChIJ05z3RlMfaDQRJR9tkt2udVM_idx-9.jpg,漸層,方圓形（Squoval）,"粉色, 藍色",光澤（Glossy）,金屬飾片（Metal pieces）,優雅
photo_placeid-ChIJ07jQUA01aDQRDOaiaNB255Y_idx-3.jpg,"法式, 跳色",方圓形（Squoval）,"黑色, 裸粉色, 金屬銀",亮片（Glitter）,,優雅
photo_placeid-ChIJ07jQUA01aDQRDOaiaNB255Y_idx-5.jpg,手繪,圓形（Round）,"裸粉色, 灰色",霧面（Matte）,畫圖章（Stamp）,"簡約, 優雅"
photo_placeid-ChIJ07jQUA01aDQRDOaiaNB255Y_idx-6.jpg,跳色,圓形（Round）,"紅色, 裸粉色","光澤（Glossy）, 亮片（Glitter）",,秋
photo_placeid-ChIJ07jQUA01aDQRDOaiaNB255Y_idx-7.jpg,"法式, 手繪",橢圓形（Oval）,"紅色, 白色",光澤（Glossy）,,"優雅, 日系"
photo_placeid-ChIJ07jQUA01aDQRDOaiaNB255Y_idx-8.jpg,"跳色, 手繪",,"紅色, 綠色, 白色",光澤（Glossy）,,"冬, 可愛"
photo_placeid-ChIJ0a1Nui-3bjQRJP3FQQkzwK8_idx-1.jpg,跳色,橢圓形（Oval）,"紅色, 裸粉色, 金屬銀","光澤（Glossy）, 亮片（Glitter）",,優雅
photo_placeid-ChIJ07jQUA01aDQRDOaiaNB255Y_idx-4.jpg,單色,圓形（Round）,裸粉色,光澤（Glossy）,,日常
photo_placeid-ChIJ07jQUA01aDQRDOaiaNB255Y_idx-9.jpg,跳色,橢圓形（Oval）,"紅色, 裸粉色",光澤（Glossy）,貝殼（Shell）,優雅
photo_placeid-ChIJ0a1Nui-3bjQRJP3FQQkzwK8_idx-10.jpg,單色,橢圓形（Oval）,裸粉色,光澤（Glossy）,,"日常, 簡約"
photo_placeid-ChIJ0a1Nui-3bjQRJP3FQQkzwK8_idx-6.jpg,手繪,圓形（Round）,"白色, 黑色, 裸粉色",光澤（Glossy）,,可愛
photo_placeid-ChIJ0a1Nui-3bjQRJP3FQQkzwK8_idx-5.jpg,手繪,,裸粉色,光澤（Glossy）,"水鑽（Rhinestone）, 雕花（3D art）",優雅
photo_placeid-ChIJ0a1Nui-3bjQRJP3FQQkzwK8_idx-3.jpg,單色,尖形（Stiletto）,"黑色, 灰色, 金屬銀","光澤（Glossy）, 亮片（Glitter）","水鑽（Rhinestone）, 金屬飾片（Metal pieces）","優雅, 歐美風"
photo_placeid-ChIJ0a1Nui-3bjQRJP3FQQkzwK8_idx-8.jpg,"跳色, 手繪",方圓形（Squoval）,"藍色, 灰色, 黑色",光澤（Glossy）,,"日系, 簡約"
photo_placeid-ChIJ0a1Nui-3bjQRJP3FQQkzwK8_idx-7.jpg,跳色,橢圓形（Oval）,"黑色, 灰色, 裸粉色","光澤（Glossy）, 金屬箔（Foil）",金屬飾片（Metal pieces）,簡約
photo_placeid-ChIJ0bBMe2ufaDQRoGpi0or7FKU_idx-2.jpg,貓眼,,綠色,光澤（Glossy）,雕花（3D art）,
photo_placeid-ChIJ0bBMe2ufaDQRoGpi0or7FKU_idx-6.jpg,"跳色, 手繪",,"藍色, 白色, 粉色",光澤,雕花（3D art）,可愛
photo_placeid-ChIJ0bBMe2ufaDQRoGpi0or7FKU_idx-3.jpg,跳色,圓形（Round）,"紅色, 粉色, 黑色","光澤（Glossy）, 亮片（Glitter）",,
photo_placeid-ChIJ0bBMe2ufaDQRoGpi0or7FKU_idx-8.jpg,跳色,圓形（Round）,裸粉色,"亮片（Glitter）, 光澤（Glossy）",,簡約
photo_placeid-ChIJ0bBMe2ufaDQRoGpi0or7FKU_idx-10.jpg,跳色,圓形（Round）,"粉色, 棕色",亮片（Glitter）,,日常
photo_placeid-ChIJ0bBMe2ufaDQRoGpi0or7FKU_idx-1.jpg,"跳色, 鏡面, 手繪",橢圓形（Oval）,"金屬銀, 粉色",亮片（Glitter）,"水鑽（Rhinestone）, 貼紙（Sticker）",可愛
photo_placeid-ChIJ0bBMe2ufaDQRoGpi0or7FKU_idx-9.jpg,漸層,橢圓形（Oval）,紅色,光澤（Glossy）,畫圖章（Stamp）,
photo_placeid-ChIJ0dCSY8Y9aTQRVjOkvoImGT8_idx-1.jpg,"跳色, 鏡面",橢圓形（Oval）,"紅色, 黑色, 白色, 金屬銀","光澤（Glossy）, 亮片（Glitter）",水鑽（Rhinestone）,"優雅, 歐美風"
photo_placeid-ChIJ0dCSY8Y9aTQRVjOkvoImGT8_idx-2.jpg,漸層,方圓形（Squoval）,"裸粉色, 灰色",亮片（Glitter）,,優雅
photo_placeid-ChIJ0dCSY8Y9aTQRVjOkvoImGT8_idx-10.jpg,,橢圓形（Oval）,"藍色, 金屬銀",亮片（Glitter）,金屬飾片（Metal pieces）,優雅
photo_placeid-ChIJ0dCSY8Y9aTQRVjOkvoImGT8_idx-4.jpg,"單色, 手繪",橢圓形（Oval）,"裸粉色, 黑色",光澤（Glossy）,畫圖章（Stamp）,"簡約, 日常"
photo_placeid-ChIJ0dCSY8Y9aTQRVjOkvoImGT8_idx-8.jpg,跳色,橢圓形（Oval）,"紅色, 金屬銀",亮片（Glitter）,,日系
photo_placeid-ChIJ0dCSY8Y9aTQRVjOkvoImGT8_idx-6.jpg,跳色,橢圓形（Oval）,白色,亮片（Glitter）,,優雅
photo_placeid-ChIJ0dCSY8Y9aTQRVjOkvoImGT8_idx-9.jpg,"跳色, 手繪",尖形（Stiletto）,"紅色, 白色, 金屬銀","亮片（Glitter）, 光澤（Glossy）",金屬飾片（Metal pieces）,優雅
photo_placeid-ChIJ0dVNDvStaTQRSNxqazINiqY_idx-1.jpg,跳色,橢圓形（Oval）,"白色, 裸粉色","光澤（Glossy）, 金屬箔（Foil）",,優雅
photo_placeid-ChIJ0dVNDvStaTQRSNxqazINiqY_idx-10.jpg,"跳色, 鏡面",方圓形（Squoval）,"白色, 金屬銀",光澤（Glossy）,,"簡約, 優雅"
photo_placeid-ChIJ0dVNDvStaTQRSNxqazINiqY_idx-3.jpg,跳色,橢圓形（Oval）,"裸粉色, 金屬銀, 紅色",亮片（Glitter）,,優雅
photo_placeid-ChIJ0dVNDvStaTQRSNxqazINiqY_idx-5.jpg,單色,橢圓形（Oval）,裸粉色,光澤（Glossy）,,日常
photo_placeid-ChIJ0dVNDvStaTQRSNxqazINiqY_idx-6.jpg,單色,橢圓形（Oval）,白色,珠光（Pearlescent）,,優雅
photo_placeid-ChIJ0dVNDvStaTQRSNxqazINiqY_idx-4.jpg,"單色, 手繪",方圓形（Squoval）,"裸粉色, 白色",光澤（Glossy）,,"簡約, 春"
photo_placeid-ChIJ0Wt_H9s1aDQRexvxHW0GQes_idx-1.jpg,漸層,橢圓形（Oval）,裸粉色,光澤（Glossy）,,簡約
photo_placeid-ChIJ0dVNDvStaTQRSNxqazINiqY_idx-7.jpg,"跳色, 鏡面",尖形（Stiletto）,"粉色, 金屬銀, 紫色","光澤（Glossy）, 亮片（Glitter）",貼紙（Sticker）,"日系, 繽紛"
photo_placeid-ChIJ0dVNDvStaTQRSNxqazINiqY_idx-8.jpg,跳色,橢圓形（Oval）,"藍色, 灰色",光澤（Glossy）,,簡約
photo_placeid-ChIJ0dVNDvStaTQRSNxqazINiqY_idx-9.jpg,"鏡面, 單色",方圓形（Squoval）,"黑色, 金屬銀",光澤（Glossy）,,簡約
photo_placeid-ChIJ0Wt_H9s1aDQRexvxHW0GQes_idx-10.jpg,單色,,紅色,光澤（Glossy）,,日常
photo_placeid-ChIJ0Wt_H9s1aDQRexvxHW0GQes_idx-5.jpg,,,,,,
photo_placeid-ChIJ0Wt_H9s1aDQRexvxHW0GQes_idx-8.jpg,"跳色, 手繪",橢圓形（Oval）,"藍色, 黑色",光澤（Glossy）,,簡約
photo_placeid-ChIJ0Wt_H9s1aDQRexvxHW0GQes_idx-9.jpg,"漸層, 跳色",橢圓形（Oval）,"紫色, 白色",光澤（Glossy）,金屬飾片（Metal pieces）,簡約
photo_placeid-ChIJ0XkTLSuraTQRnP6ROZrZ1ts_idx-2.jpg,跳色,,"藍色, 金屬銀","亮片（Glitter）, 光澤（Glossy）",,優雅
photo_placeid-ChIJ0XkTLSuraTQRnP6ROZrZ1ts_idx-3.jpg,"跳色, 手繪",方圓形（Squoval）,"裸粉色, 白色, 紅色",光澤（Glossy）,畫圖章（Stamp）,"優雅, 日系"
photo_placeid-ChIJ0XkTLSuraTQRnP6ROZrZ1ts_idx-4.jpg,跳色,橢圓形（Oval）,"白色, 粉色, 金屬銀","光澤（Glossy）, 亮片（Glitter）, 金屬箔（Foil）",,優雅
photo_placeid-ChIJ0Wt_H9s1aDQRexvxHW0GQes_idx-4.jpg,跳色,方圓形（Squoval）,"黑色, 灰色",光澤（Glossy）,畫圖章（Stamp）,優雅
photo_placeid-ChIJ0XkTLSuraTQRnP6ROZrZ1ts_idx-10.jpg,跳色,尖形（Stiletto）,"灰色, 白色, 黑色",光澤（Glossy）,貼紙（Sticker）,簡約
photo_placeid-ChIJ0XkTLSuraTQRnP6ROZrZ1ts_idx-7.jpg,手繪,橢圓形（Oval）,裸粉色,光澤（Glossy）,金屬飾片（Metal pieces）,優雅
photo_placeid-ChIJ0XkTLSuraTQRnP6ROZrZ1ts_idx-6.jpg,手繪,方圓形（Squoval）,"粉色, 白色",光澤（Glossy）,,"優雅, 可愛"
photo_placeid-ChIJ0XkTLSuraTQRnP6ROZrZ1ts_idx-5.jpg,貓眼,方形（Square）,粉色,光澤（Glossy）,,日系
photo_placeid-ChIJ0ydvun7nZzQRiArEkdPAj7M_idx-10.jpg,單色,圓形（Round）,灰色,光澤（Glossy）,,日常
photo_placeid-ChIJ0XkTLSuraTQRnP6ROZrZ1ts_idx-8.jpg,"跳色, 漸層",橢圓形（Oval）,"藍色, 粉色","光澤（Glossy）, 亮片（Glitter）",,優雅
photo_placeid-ChIJ0ZhyJls5aTQRTy1UpuVmZZo_idx-1.jpg,跳色,,"紅色, 白色","光澤（Glossy）, 亮片（Glitter）",雕花（3D art）,
photo_placeid-ChIJ0ZhyJls5aTQRTy1UpuVmZZo_idx-4.jpg,漸層,尖形（Stiletto）,"靛色, 銀色","光澤（Glossy）, 亮片（Glitter）",,
photo_placeid-ChIJ0ZhyJls5aTQRTy1UpuVmZZo_idx-5.jpg,法式,方圓形（Squoval）,"白色, 裸粉色",光澤（Glossy）,,"優雅, 簡約"
photo_placeid-ChIJ0XkTLSuraTQRnP6ROZrZ1ts_idx-9.jpg,單色,橢圓形（Oval）,金屬銀,珠光（Pearlescent）,,
photo_placeid-ChIJ0ZhyJls5aTQRTy1UpuVmZZo_idx-7.jpg,法式,方圓形（Squoval）,"白色, 裸粉色",光澤（Glossy）,,優雅
photo_placeid-ChIJ0ZhyJls5aTQRTy1UpuVmZZo_idx-6.jpg,單色,方圓形（Squoval）,裸粉色,光澤（Glossy）,,"簡約, 優雅"
photo_placeid-ChIJ13pflLqfaDQRgmZbTQrlbFE_idx-1.jpg,單色,橢圓形（Oval）,裸粉色,光澤（Glossy）,,"日常, 簡約"
photo_placeid-ChIJ0ZhyJls5aTQRTy1UpuVmZZo_idx-8.jpg,跳色,方圓形（Squoval）,"藍色, 白色",霧面（Matte）,金屬飾片（Metal pieces）,優雅
photo_placeid-ChIJ13pflLqfaDQRgmZbTQrlbFE_idx-3.jpg,法式,方圓形（Squoval）,"粉色, 白色",光澤（Glossy）,貼紙（Sticker）,優雅
photo_placeid-ChIJ13pflLqfaDQRgmZbTQrlbFE_idx-4.jpg,單色,圓形（Round）,裸粉色,光澤（Glossy）,,"優雅, 日常"
photo_placeid-ChIJ13pflLqfaDQRgmZbTQrlbFE_idx-5.jpg,漸層,方圓形（Squoval）,"粉色, 白色",亮片（Glitter）,,可愛
photo_placeid-ChIJ13pflLqfaDQRgmZbTQrlbFE_idx-6.jpg,跳色,方圓形（Squoval）,"裸粉色, 灰色, 金屬銀","光澤（Glossy）, 金屬箔（Foil）",,優雅
photo_placeid-ChIJ0ZhyJls5aTQRTy1UpuVmZZo_idx-9.jpg,跳色,橢圓形（Oval）,"粉色, 裸粉色","光澤（Glossy）, 亮片（Glitter）",,可愛
photo_placeid-ChIJ13pflLqfaDQRgmZbTQrlbFE_idx-8.jpg,手繪,圓形（Round）,"裸粉色, 紅色, 橙色, 黑色",光澤（Glossy）,,日系
photo_placeid-ChIJ13pflLqfaDQRgmZbTQrlbFE_idx-10.jpg,"跳色, 手繪",橢圓形（Oval）,"粉色, 白色, 黑色",光澤（Glossy）,,"優雅, 日系"
photo_placeid-ChIJ17j90484aTQRMkySUZCAmIQ_idx-1.jpg,"跳色, 法式",方圓形（Squoval）,"紅色, 白色, 裸粉色, 金屬銀","光澤（Glossy）, 亮片（Glitter）","金屬飾片（Metal pieces）, 貝殼（Shell）",優雅
photo_placeid-ChIJ17j90484aTQRMkySUZCAmIQ_idx-10.jpg,"跳色, 漸層",圓形（Round）,"白色, 粉色, 金屬銀","亮片（Glitter）, 光澤（Glossy）",,優雅
photo_placeid-ChIJ13pflLqfaDQRgmZbTQrlbFE_idx-9.jpg,法式,方圓形（Squoval）,"粉色, 藍色",光澤（Glossy）,,簡約
photo_placeid-ChIJ17j90484aTQRMkySUZCAmIQ_idx-3.jpg,"法式, 手繪",尖形（Stiletto）,"黑色, 裸粉色, 棕色",光澤（Glossy）,,"歐美風, 優雅"
photo_placeid-ChIJ17j90484aTQRMkySUZCAmIQ_idx-5.jpg,"跳色, 手繪",橢圓形（Oval）,"藍色, 黃色, 裸粉色","光澤（Glossy）, 亮片（Glitter）",金屬飾片（Metal pieces）,"春, 繽紛"
photo_placeid-ChIJ17j90484aTQRMkySUZCAmIQ_idx-8.jpg,"跳色, 手繪",方圓形（Squoval）,"紅色, 白色",光澤（Glossy）,"水鑽（Rhinestone）, 畫圖章（Stamp）","繽紛, 可愛"
photo_placeid-ChIJ17j90484aTQRMkySUZCAmIQ_idx-4.jpg,手繪,,"黃色, 灰色, 白色",光澤（Glossy）,,可愛
photo_placeid-ChIJ13pflLqfaDQRgmZbTQrlbFE_idx-7.jpg,單色,橢圓形（Oval）,橙色,光澤（Glossy）,,日常
photo_placeid-ChIJ1es8h9IYaDQREBnN8jRyjsk_idx-1.jpg,"跳色, 手繪",圓形（Round）,"綠色, 金屬銀","光澤（Glossy）, 亮片（Glitter）",貼紙（Sticker）,"可愛, 春"
photo_placeid-ChIJ17j90484aTQRMkySUZCAmIQ_idx-9.jpg,跳色,尖形（Stiletto）,"紅色, 白色",光澤（Glossy）,,優雅
photo_placeid-ChIJ1es8h9IYaDQREBnN8jRyjsk_idx-10.jpg,單色,,"裸粉色, 白色, 金屬銀","光澤（Glossy）, 金屬箔（Foil）",,簡約
photo_placeid-ChIJ1es8h9IYaDQREBnN8jRyjsk_idx-2.jpg,單色,圓形（Round）,裸粉色,光澤（Glossy）,,"簡約, 優雅"
photo_placeid-ChIJ1es8h9IYaDQREBnN8jRyjsk_idx-7.jpg,單色,橢圓形（Oval）,白色,光澤（Glossy）,,簡約
photo_placeid-ChIJ1es8h9IYaDQREBnN8jRyjsk_idx-3.jpg,單色,圓形（Round）,"裸粉色, 橙色",光澤（Glossy）,,簡約
photo_placeid-ChIJ1es8h9IYaDQREBnN8jRyjsk_idx-8.jpg,跳色,橢圓形（Oval）,"綠色, 黃色",霧面（Matte）,,簡約
photo_placeid-ChIJ1es8h9IYaDQREBnN8jRyjsk_idx-9.jpg,跳色,橢圓形（Oval）,"紅色, 裸粉色",光澤（Glossy）,金屬飾片（Metal pieces）,優雅
photo_placeid-ChIJ1es8h9IYaDQREBnN8jRyjsk_idx-5.jpg,"單色, 手繪",方圓形（Squoval）,"裸粉色, 白色",光澤（Glossy）,,簡約
photo_placeid-ChIJ1TMnNwCxbjQRY4TFoiWrxRk_idx-10.jpg,單色,方圓形（Squoval）,裸粉色,"光澤（Glossy）, 亮片（Glitter）",水鑽（Rhinestone）,優雅
photo_placeid-ChIJ1TMnNwCxbjQRY4TFoiWrxRk_idx-2.jpg,跳色,橢圓形（Oval）,"紅色, 裸粉色, 灰色","光澤（Glossy）, 亮片（Glitter）",,"秋, 優雅"
photo_placeid-ChIJ1TMnNwCxbjQRY4TFoiWrxRk_idx-3.jpg,漸層,方圓形（Squoval）,"灰色, 裸粉色, 金屬銀","光澤（Glossy）, 亮片（Glitter）",,優雅
photo_placeid-ChIJ1TMnNwCxbjQRY4TFoiWrxRk_idx-5.jpg,單色,橢圓形（Oval）,紅色,光澤（Glossy）,,優雅
photo_placeid-ChIJ1TMnNwCxbjQRY4TFoiWrxRk_idx-4.jpg,法式,尖形（Stiletto）,"白色, 裸粉色","光澤（Glossy）, 亮片（Glitter）",水鑽（Rhinestone）,優雅
photo_placeid-ChIJ1TMnNwCxbjQRY4TFoiWrxRk_idx-9.jpg,漸層,橢圓形（Oval）,"裸粉色, 金屬銀","珠光（Pearlescent）, 亮片（Glitter）",水鑽（Rhinestone）,優雅
photo_placeid-ChIJ1UlS-pA4aTQR9648sRjqzvk_idx-7.jpg,"跳色, 手繪",,"黃色, 黑色, 白色",亮片（Glitter）,金屬飾片（Metal pieces）,可愛
photo_placeid-ChIJ1UlS-pA4aTQR9648sRjqzvk_idx-8.jpg,單色,圓形（Round）,裸粉色,光澤（Glossy）,金屬飾片（Metal pieces）,優雅
photo_placeid-ChIJ1UlS-pA4aTQR9648sRjqzvk_idx-9.jpg,單色,橢圓形（Oval）,裸粉色,光澤（Glossy）,,優雅
photo_placeid-ChIJ1TMnNwCxbjQRY4TFoiWrxRk_idx-6.jpg,"單色, 跳色",方圓形（Squoval）,"裸粉色, 灰色","光澤（Glossy）, 亮片（Glitter）",金屬箔（Foil）,優雅
photo_placeid-ChIJ22nKDDZNaDQR9t3kQ8nQNEM_idx-10.jpg,"跳色, 手繪",圓形（Round）,"裸粉色, 白色",光澤（Glossy）,金屬飾片（Metal pieces）,優雅
photo_placeid-ChIJ22nKDDZNaDQR9t3kQ8nQNEM_idx-2.jpg,手繪,尖形（Stiletto）,"黑色, 白色, 裸粉色",光澤（Glossy）,金屬飾片（Metal pieces）,優雅
photo_placeid-ChIJ1TMnNwCxbjQRY4TFoiWrxRk_idx-1.jpg,跳色,尖形（Stiletto）,"金屬銀, 裸粉色","光澤（Glossy）, 亮片（Glitter）","水鑽（Rhinestone）, 金屬飾片（Metal pieces）",優雅
photo_placeid-ChIJ22nKDDZNaDQR9t3kQ8nQNEM_idx-1.jpg,貓眼,尖形（Stiletto）,"紅色, 裸粉色, 金屬銀","光澤（Glossy）, 金屬箔（Foil）","雕花（3D art）, 水鑽（Rhinestone）","優雅, 冬"
photo_placeid-ChIJ22nKDDZNaDQR9t3kQ8nQNEM_idx-7.jpg,"鏡面, 單色",橢圓形（Oval）,"金屬銀, 裸粉色","珠光（Pearlescent）, 亮片（Glitter）","雕花（3D art）, 金屬飾片（Metal pieces）",優雅
photo_placeid-ChIJ2bFqu985aTQRV-8qFXei_Cs_idx-2.jpg,跳色,橢圓形（Oval）,"裸粉色, 灰色, 白色, 金屬銀","亮片（Glitter）, 光澤（Glossy）, 珠光（Pearlescent）",,簡約
photo_placeid-ChIJ22nKDDZNaDQR9t3kQ8nQNEM_idx-6.jpg,"跳色, 手繪",橢圓形（Oval）,"粉色, 白色, 黃色",光澤（Glossy）,,優雅
